지역,q4,수치,tot_group,pct
서울,자치단체가 충분한 세수를 확보하지 못함,40,321,12.5
서울,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,112,321,34.9
서울,자치단체 출마 정치인들의 역량 부족,67,321,20.9
서울,지역주의 등 유권자들의 공익적이지 않은 투표 행태,77,321,24
서울,잘 모르겠음,25,321,7.8
경기인천,자치단체가 충분한 세수를 확보하지 못함,50,361,13.9
경기인천,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,128,361,35.5
경기인천,자치단체 출마 정치인들의 역량 부족,73,361,20.2
경기인천,지역주의 등 유권자들의 공익적이지 않은 투표 행태,80,361,22.2
경기인천,잘 모르겠음,30,361,8.3
대전충청세종,자치단체가 충분한 세수를 확보하지 못함,29,162,17.9
대전충청세종,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,59,162,36.4
대전충청세종,자치단체 출마 정치인들의 역량 부족,34,162,21
대전충청세종,지역주의 등 유권자들의 공익적이지 않은 투표 행태,29,162,17.9
대전충청세종,잘 모르겠음,11,162,6.8
부산경남울산,자치단체가 충분한 세수를 확보하지 못함,33,257,12.8
부산경남울산,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,109,257,42.4
부산경남울산,자치단체 출마 정치인들의 역량 부족,53,257,20.6
부산경남울산,지역주의 등 유권자들의 공익적이지 않은 투표 행태,48,257,18.7
부산경남울산,잘 모르겠음,14,257,5.4
대구경북,자치단체가 충분한 세수를 확보하지 못함,22,164,13.4
대구경북,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,73,164,44.5
대구경북,자치단체 출마 정치인들의 역량 부족,23,164,14
대구경북,지역주의 등 유권자들의 공익적이지 않은 투표 행태,24,164,14.6
대구경북,잘 모르겠음,22,164,13.4
광주전라,자치단체가 충분한 세수를 확보하지 못함,30,178,16.9
광주전라,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,71,178,39.9
광주전라,자치단체 출마 정치인들의 역량 부족,39,178,21.9
광주전라,지역주의 등 유권자들의 공익적이지 않은 투표 행태,21,178,11.8
광주전라,잘 모르겠음,17,178,9.6
강원제주,자치단체가 충분한 세수를 확보하지 못함,16,77,20.8
강원제주,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,22,77,28.6
강원제주,자치단체 출마 정치인들의 역량 부족,17,77,22.1
강원제주,지역주의 등 유권자들의 공익적이지 않은 투표 행태,15,77,19.5
강원제주,잘 모르겠음,7,77,9.1
