지역,q2,수치,tot_group,pct
서울,지방자치 강화를 위해 매우 긍정적,64,321,19.9
서울,대통령제를 유지한다는 전제 하에 찬성,99,321,30.8
서울,내각책임제로 전환한다는 전제 하에 찬성,43,321,13.4
서울,개헌에 찬성하나 지방자치 강화를 원하지는 않음,44,321,13.7
서울,개헌을 반대함,39,321,12.1
서울,잘 모르겠음,32,321,10
경기인천,지방자치 강화를 위해 매우 긍정적,74,361,20.5
경기인천,대통령제를 유지한다는 전제 하에 찬성,119,361,33
경기인천,내각책임제로 전환한다는 전제 하에 찬성,61,361,16.9
경기인천,개헌에 찬성하나 지방자치 강화를 원하지는 않음,47,361,13
경기인천,개헌을 반대함,26,361,7.2
경기인천,잘 모르겠음,34,361,9.4
대전충청세종,지방자치 강화를 위해 매우 긍정적,33,162,20.4
대전충청세종,대통령제를 유지한다는 전제 하에 찬성,42,162,25.9
대전충청세종,내각책임제로 전환한다는 전제 하에 찬성,27,162,16.7
대전충청세종,개헌에 찬성하나 지방자치 강화를 원하지는 않음,21,162,13
대전충청세종,개헌을 반대함,18,162,11.1
대전충청세종,잘 모르겠음,21,162,13
부산경남울산,지방자치 강화를 위해 매우 긍정적,59,257,23
부산경남울산,대통령제를 유지한다는 전제 하에 찬성,71,257,27.6
부산경남울산,내각책임제로 전환한다는 전제 하에 찬성,41,257,16
부산경남울산,개헌에 찬성하나 지방자치 강화를 원하지는 않음,43,257,16.7
부산경남울산,개헌을 반대함,18,257,7
부산경남울산,잘 모르겠음,25,257,9.7
대구경북,지방자치 강화를 위해 매우 긍정적,25,164,15.2
대구경북,대통령제를 유지한다는 전제 하에 찬성,29,164,17.7
대구경북,내각책임제로 전환한다는 전제 하에 찬성,31,164,18.9
대구경북,개헌에 찬성하나 지방자치 강화를 원하지는 않음,34,164,20.7
대구경북,개헌을 반대함,20,164,12.2
대구경북,잘 모르겠음,25,164,15.2
광주전라,지방자치 강화를 위해 매우 긍정적,39,178,21.9
광주전라,대통령제를 유지한다는 전제 하에 찬성,54,178,30.3
광주전라,내각책임제로 전환한다는 전제 하에 찬성,25,178,14
광주전라,개헌에 찬성하나 지방자치 강화를 원하지는 않음,35,178,19.7
광주전라,개헌을 반대함,10,178,5.6
광주전라,잘 모르겠음,15,178,8.4
강원제주,지방자치 강화를 위해 매우 긍정적,16,77,20.8
강원제주,대통령제를 유지한다는 전제 하에 찬성,21,77,27.3
강원제주,내각책임제로 전환한다는 전제 하에 찬성,10,77,13
강원제주,개헌에 찬성하나 지방자치 강화를 원하지는 않음,12,77,15.6
강원제주,개헌을 반대함,5,77,6.5
강원제주,잘 모르겠음,13,77,16.9
