지역,q1,수치,tot_group,pct
서울,매우 긍정적이다,45,321,14
서울,긍정적으로 보지만 개선해야 한다,136,321,42.4
서울,예전과 차이를 모르겠다,31,321,9.7
서울,부정적으로 보며 제도가 많이 바뀌어야 한다,69,321,21.5
서울,시행한 이유를 모르겠다,16,321,5
서울,잘 모르겠음,24,321,7.5
경기인천,매우 긍정적이다,39,361,10.8
경기인천,긍정적으로 보지만 개선해야 한다,162,361,44.9
경기인천,예전과 차이를 모르겠다,44,361,12.2
경기인천,부정적으로 보며 제도가 많이 바뀌어야 한다,67,361,18.6
경기인천,시행한 이유를 모르겠다,26,361,7.2
경기인천,잘 모르겠음,23,361,6.4
대전충청세종,매우 긍정적이다,17,162,10.5
대전충청세종,긍정적으로 보지만 개선해야 한다,62,162,38.3
대전충청세종,예전과 차이를 모르겠다,30,162,18.5
대전충청세종,부정적으로 보며 제도가 많이 바뀌어야 한다,41,162,25.3
대전충청세종,시행한 이유를 모르겠다,5,162,3.1
대전충청세종,잘 모르겠음,7,162,4.3
부산경남울산,매우 긍정적이다,31,257,12.1
부산경남울산,긍정적으로 보지만 개선해야 한다,120,257,46.7
부산경남울산,예전과 차이를 모르겠다,27,257,10.5
부산경남울산,부정적으로 보며 제도가 많이 바뀌어야 한다,50,257,19.5
부산경남울산,시행한 이유를 모르겠다,11,257,4.3
부산경남울산,잘 모르겠음,18,257,7
대구경북,매우 긍정적이다,15,164,9.1
대구경북,긍정적으로 보지만 개선해야 한다,58,164,35.4
대구경북,예전과 차이를 모르겠다,23,164,14
대구경북,부정적으로 보며 제도가 많이 바뀌어야 한다,41,164,25
대구경북,시행한 이유를 모르겠다,16,164,9.8
대구경북,잘 모르겠음,11,164,6.7
광주전라,매우 긍정적이다,26,178,14.6
광주전라,긍정적으로 보지만 개선해야 한다,77,178,43.3
광주전라,예전과 차이를 모르겠다,17,178,9.6
광주전라,부정적으로 보며 제도가 많이 바뀌어야 한다,43,178,24.2
광주전라,시행한 이유를 모르겠다,7,178,3.9
광주전라,잘 모르겠음,8,178,4.5
강원제주,매우 긍정적이다,13,77,16.9
강원제주,긍정적으로 보지만 개선해야 한다,24,77,31.2
강원제주,예전과 차이를 모르겠다,7,77,9.1
강원제주,부정적으로 보며 제도가 많이 바뀌어야 한다,22,77,28.6
강원제주,시행한 이유를 모르겠다,5,77,6.5
강원제주,잘 모르겠음,6,77,7.8
