연령,q2,수치,tot_group,pct
20대,지방자치 강화를 위해 매우 긍정적,25,93,26.9
20대,대통령제를 유지한다는 전제 하에 찬성,36,93,38.7
20대,내각책임제로 전환한다는 전제 하에 찬성,8,93,8.6
20대,개헌에 찬성하나 지방자치 강화를 원하지는 않음,7,93,7.5
20대,개헌을 반대함,7,93,7.5
20대,잘 모르겠음,10,93,10.8
30대,지방자치 강화를 위해 매우 긍정적,28,120,23.3
30대,대통령제를 유지한다는 전제 하에 찬성,46,120,38.3
30대,내각책임제로 전환한다는 전제 하에 찬성,7,120,5.8
30대,개헌에 찬성하나 지방자치 강화를 원하지는 않음,15,120,12.5
30대,개헌을 반대함,13,120,10.8
30대,잘 모르겠음,11,120,9.2
40대,지방자치 강화를 위해 매우 긍정적,70,272,25.7
40대,대통령제를 유지한다는 전제 하에 찬성,101,272,37.1
40대,내각책임제로 전환한다는 전제 하에 찬성,25,272,9.2
40대,개헌에 찬성하나 지방자치 강화를 원하지는 않음,31,272,11.4
40대,개헌을 반대함,28,272,10.3
40대,잘 모르겠음,17,272,6.2
50대,지방자치 강화를 위해 매우 긍정적,90,419,21.5
50대,대통령제를 유지한다는 전제 하에 찬성,120,419,28.6
50대,내각책임제로 전환한다는 전제 하에 찬성,64,419,15.3
50대,개헌에 찬성하나 지방자치 강화를 원하지는 않음,82,419,19.6
50대,개헌을 반대함,32,419,7.6
50대,잘 모르겠음,31,419,7.4
60대 이상,지방자치 강화를 위해 매우 긍정적,97,616,15.7
60대 이상,대통령제를 유지한다는 전제 하에 찬성,132,616,21.4
60대 이상,내각책임제로 전환한다는 전제 하에 찬성,134,616,21.8
60대 이상,개헌에 찬성하나 지방자치 강화를 원하지는 않음,101,616,16.4
60대 이상,개헌을 반대함,56,616,9.1
60대 이상,잘 모르겠음,96,616,15.6
