지역,q5,수치,tot_group,pct
서울,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,75,321,23.4
서울,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",97,321,30.2
서울,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,116,321,36.1
서울,잘 모르겠음,33,321,10.3
경기인천,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,68,361,18.8
경기인천,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",133,361,36.8
경기인천,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,132,361,36.6
경기인천,잘 모르겠음,28,361,7.8
대전충청세종,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,25,162,15.4
대전충청세종,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",64,162,39.5
대전충청세종,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,61,162,37.7
대전충청세종,잘 모르겠음,12,162,7.4
부산경남울산,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,31,257,12.1
부산경남울산,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",100,257,38.9
부산경남울산,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,108,257,42
부산경남울산,잘 모르겠음,18,257,7
대구경북,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,24,164,14.6
대구경북,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",54,164,32.9
대구경북,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,70,164,42.7
대구경북,잘 모르겠음,16,164,9.8
광주전라,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,41,178,23
광주전라,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",57,178,32
광주전라,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,65,178,36.5
광주전라,잘 모르겠음,15,178,8.4
강원제주,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,13,77,16.9
강원제주,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",23,77,29.9
강원제주,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,35,77,45.5
강원제주,잘 모르겠음,6,77,7.8
