연령,q8,수치,tot_group,pct
20대,직선 교육감에 대한 시민 통제 위해 교육의원 직선제 부활이 바람직함,32,93,34.4
20대,지방의원들로 교육위원회 구성하는 현 체제가 바람직함,15,93,16.1
20대,잘 모르겠음,46,93,49.5
30대,직선 교육감에 대한 시민 통제 위해 교육의원 직선제 부활이 바람직함,51,120,42.5
30대,지방의원들로 교육위원회 구성하는 현 체제가 바람직함,20,120,16.7
30대,잘 모르겠음,49,120,40.8
40대,직선 교육감에 대한 시민 통제 위해 교육의원 직선제 부활이 바람직함,101,272,37.1
40대,지방의원들로 교육위원회 구성하는 현 체제가 바람직함,74,272,27.2
40대,잘 모르겠음,97,272,35.7
50대,직선 교육감에 대한 시민 통제 위해 교육의원 직선제 부활이 바람직함,140,419,33.4
50대,지방의원들로 교육위원회 구성하는 현 체제가 바람직함,132,419,31.5
50대,잘 모르겠음,147,419,35.1
60대 이상,직선 교육감에 대한 시민 통제 위해 교육의원 직선제 부활이 바람직함,146,616,23.7
60대 이상,지방의원들로 교육위원회 구성하는 현 체제가 바람직함,197,616,32
60대 이상,잘 모르겠음,273,616,44.3
