연령,q3,수치,tot_group,pct
20대,선출직 공무원이 늘어나면서 민주주의 강화,17,93,18.3
20대,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,48,93,51.6
20대,신예 정치인을 육성하고 평가하는 기준이 됨,7,93,7.5
20대,잘 모르겠음,21,93,22.6
30대,선출직 공무원이 늘어나면서 민주주의 강화,18,120,15
30대,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,69,120,57.5
30대,신예 정치인을 육성하고 평가하는 기준이 됨,12,120,10
30대,잘 모르겠음,21,120,17.5
40대,선출직 공무원이 늘어나면서 민주주의 강화,53,272,19.5
40대,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,135,272,49.6
40대,신예 정치인을 육성하고 평가하는 기준이 됨,17,272,6.2
40대,잘 모르겠음,67,272,24.6
50대,선출직 공무원이 늘어나면서 민주주의 강화,62,419,14.8
50대,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,189,419,45.1
50대,신예 정치인을 육성하고 평가하는 기준이 됨,46,419,11
50대,잘 모르겠음,122,419,29.1
60대 이상,선출직 공무원이 늘어나면서 민주주의 강화,70,616,11.4
60대 이상,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,190,616,30.8
60대 이상,신예 정치인을 육성하고 평가하는 기준이 됨,104,616,16.9
60대 이상,잘 모르겠음,252,616,40.9
