연령,q5,수치,tot_group,pct
20대,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,21,93,22.6
20대,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",30,93,32.3
20대,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,30,93,32.3
20대,잘 모르겠음,12,93,12.9
30대,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,31,120,25.8
30대,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",41,120,34.2
30대,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,39,120,32.5
30대,잘 모르겠음,9,120,7.5
40대,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,59,272,21.7
40대,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",92,272,33.8
40대,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,102,272,37.5
40대,잘 모르겠음,19,272,7
50대,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,70,419,16.7
50대,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",166,419,39.6
50대,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,154,419,36.8
50대,잘 모르겠음,29,419,6.9
60대 이상,지방선거 모든 분야에서 정당 공천을 하는 것이 바람직함,96,616,15.6
60대 이상,"광역자치단체장 및 의원 선거에선 정당 공천을 하되, 기초자치단체장 및 의원 선거에선 공천 않고 정당 표기 하지 않는 선거가 바람직함",199,616,32.3
60대 이상,지방선거 모든 분야에서 정당 공천과 정당 표기 없이 선거를 하는 것이 바람직함,262,616,42.5
60대 이상,잘 모르겠음,59,616,9.6
