연령,q7,수치,tot_group,pct
20대,"교육감 직선제 유지하되, 교육감 권한 강화",19,93,20.4
20대,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",30,93,32.3
20대,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",13,93,14
20대,교육감 직선제는 폐지하는 것이 바람직함,19,93,20.4
20대,잘 모르겠음,12,93,12.9
30대,"교육감 직선제 유지하되, 교육감 권한 강화",46,120,38.3
30대,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",26,120,21.7
30대,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",18,120,15
30대,교육감 직선제는 폐지하는 것이 바람직함,19,120,15.8
30대,잘 모르겠음,11,120,9.2
40대,"교육감 직선제 유지하되, 교육감 권한 강화",93,272,34.2
40대,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",82,272,30.1
40대,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",40,272,14.7
40대,교육감 직선제는 폐지하는 것이 바람직함,49,272,18
40대,잘 모르겠음,8,272,2.9
50대,"교육감 직선제 유지하되, 교육감 권한 강화",81,419,19.3
50대,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",118,419,28.2
50대,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",86,419,20.5
50대,교육감 직선제는 폐지하는 것이 바람직함,110,419,26.3
50대,잘 모르겠음,24,419,5.7
60대 이상,"교육감 직선제 유지하되, 교육감 권한 강화",80,616,13
60대 이상,"교육감 직선제 유지하되, 광역자치단체장과 함께 선출하는 러닝메이트제로 전환",134,616,21.8
60대 이상,"교육감 직선제 유지하되, 교육감이 광역자치단체장과 충돌하지 않도록 권한 축소 조정",150,616,24.4
60대 이상,교육감 직선제는 폐지하는 것이 바람직함,180,616,29.2
60대 이상,잘 모르겠음,72,616,11.7
