연령,q6,수치,tot_group,pct
20대,광역의원 및 기초의원 모두 비례대표 비중을 늘리는 것이 바람직함,25,93,26.9
20대,광역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,10,93,10.8
20대,지역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,9,93,9.7
20대,지방의회에서 정당 비례대표제를 강화하는 것이 찬성하지 않음,39,93,41.9
20대,잘 모르겠음,10,93,10.8
30대,광역의원 및 기초의원 모두 비례대표 비중을 늘리는 것이 바람직함,42,120,35
30대,광역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,8,120,6.7
30대,지역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,12,120,10
30대,지방의회에서 정당 비례대표제를 강화하는 것이 찬성하지 않음,40,120,33.3
30대,잘 모르겠음,18,120,15
40대,광역의원 및 기초의원 모두 비례대표 비중을 늘리는 것이 바람직함,68,272,25
40대,광역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,28,272,10.3
40대,지역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,25,272,9.2
40대,지방의회에서 정당 비례대표제를 강화하는 것이 찬성하지 않음,122,272,44.9
40대,잘 모르겠음,29,272,10.7
50대,광역의원 및 기초의원 모두 비례대표 비중을 늘리는 것이 바람직함,60,419,14.3
50대,광역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,62,419,14.8
50대,지역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,48,419,11.5
50대,지방의회에서 정당 비례대표제를 강화하는 것이 찬성하지 않음,207,419,49.4
50대,잘 모르겠음,42,419,10
60대 이상,광역의원 및 기초의원 모두 비례대표 비중을 늘리는 것이 바람직함,70,616,11.4
60대 이상,광역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,111,616,18
60대 이상,지역의원에 대해서만 비례대표 비중을 늘리는 것이 바람직함,73,616,11.9
60대 이상,지방의회에서 정당 비례대표제를 강화하는 것이 찬성하지 않음,255,616,41.4
60대 이상,잘 모르겠음,107,616,17.4
