지역,q3,수치,tot_group,pct
서울,선출직 공무원이 늘어나면서 민주주의 강화,51,321,15.9
서울,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,147,321,45.8
서울,신예 정치인을 육성하고 평가하는 기준이 됨,35,321,10.9
서울,잘 모르겠음,88,321,27.4
경기인천,선출직 공무원이 늘어나면서 민주주의 강화,40,361,11.1
경기인천,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,175,361,48.5
경기인천,신예 정치인을 육성하고 평가하는 기준이 됨,38,361,10.5
경기인천,잘 모르겠음,108,361,29.9
대전충청세종,선출직 공무원이 늘어나면서 민주주의 강화,18,162,11.1
대전충청세종,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,67,162,41.4
대전충청세종,신예 정치인을 육성하고 평가하는 기준이 됨,19,162,11.7
대전충청세종,잘 모르겠음,58,162,35.8
부산경남울산,선출직 공무원이 늘어나면서 민주주의 강화,45,257,17.5
부산경남울산,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,104,257,40.5
부산경남울산,신예 정치인을 육성하고 평가하는 기준이 됨,31,257,12.1
부산경남울산,잘 모르겠음,77,257,30
대구경북,선출직 공무원이 늘어나면서 민주주의 강화,24,164,14.6
대구경북,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,47,164,28.7
대구경북,신예 정치인을 육성하고 평가하는 기준이 됨,21,164,12.8
대구경북,잘 모르겠음,72,164,43.9
광주전라,선출직 공무원이 늘어나면서 민주주의 강화,29,178,16.3
광주전라,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,66,178,37.1
광주전라,신예 정치인을 육성하고 평가하는 기준이 됨,32,178,18
광주전라,잘 모르겠음,51,178,28.7
강원제주,선출직 공무원이 늘어나면서 민주주의 강화,13,77,16.9
강원제주,중앙정치에서 비교적 자유롭게 지역민심과 민원을 대변하는 계기가 됨,25,77,32.5
강원제주,신예 정치인을 육성하고 평가하는 기준이 됨,10,77,13
강원제주,잘 모르겠음,29,77,37.7
