연령,q4,수치,tot_group,pct
20대,자치단체가 충분한 세수를 확보하지 못함,19,93,20.4
20대,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,40,93,43
20대,자치단체 출마 정치인들의 역량 부족,9,93,9.7
20대,지역주의 등 유권자들의 공익적이지 않은 투표 행태,18,93,19.4
20대,잘 모르겠음,7,93,7.5
30대,자치단체가 충분한 세수를 확보하지 못함,20,120,16.7
30대,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,42,120,35
30대,자치단체 출마 정치인들의 역량 부족,19,120,15.8
30대,지역주의 등 유권자들의 공익적이지 않은 투표 행태,35,120,29.2
30대,잘 모르겠음,4,120,3.3
40대,자치단체가 충분한 세수를 확보하지 못함,35,272,12.9
40대,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,114,272,41.9
40대,자치단체 출마 정치인들의 역량 부족,47,272,17.3
40대,지역주의 등 유권자들의 공익적이지 않은 투표 행태,64,272,23.5
40대,잘 모르겠음,12,272,4.4
50대,자치단체가 충분한 세수를 확보하지 못함,53,419,12.6
50대,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,168,419,40.1
50대,자치단체 출마 정치인들의 역량 부족,95,419,22.7
50대,지역주의 등 유권자들의 공익적이지 않은 투표 행태,84,419,20
50대,잘 모르겠음,19,419,4.5
60대 이상,자치단체가 충분한 세수를 확보하지 못함,93,616,15.1
60대 이상,중앙정당이 지방 정치인들을 줄세우기 하는 폐해,210,616,34.1
60대 이상,자치단체 출마 정치인들의 역량 부족,136,616,22.1
60대 이상,지역주의 등 유권자들의 공익적이지 않은 투표 행태,93,616,15.1
60대 이상,잘 모르겠음,84,616,13.6
